ticker,appreciation,10bagger
A,6.339116719242902,False
AA,1.2243478260869565,False
AAAGY,1.2755555555555556,False
AAAP,3.3318367346938773,False
AAC,0.09945945945945947,False
AACC,1.978723404255319,False
AACG,0.19150579150579153,False
AACPF,1.041237113402062,False
AAGIY,3.2681632653061223,False
AAI,2.9251968503937005,False
AAIIQ,0.024844720496894408,False
AAIR,0.0005714285714285715,False
AAL,12.8582995951417,True
AALBF,0.9446139403895799,False
AAMC,2.0833333333333335,False
AAME,4.003139717425431,False
AAN,3.9450986274656867,False
AANB,1.6686046511627908,False
AAOI,1.2248995983935742,False
AAON,10.52415679124886,True
AAP,4.696502340952906,False
AAPC,1.06,False
AAPL,15.11979622701584,True
AAT,2.1581176470588237,False
AATI,1.969387755102041,False
AAU,0.7746666666666666,False
AAUKF,1.7489768076398362,False
AAV,1.3020833333333335,False
AAWW,4.08730800323363,False
AAXN,15.072022160664819,True
AB,2.570284697508897,False
ABAT,0.021568627450980395,False
ABAX,5.661664392905866,False
ABB,1.7201458523245214,False
ABBC,1.0344827586206897,False
ABBV,2.294703872437358,False
ABC,5.207596594629993,False
ABCB,7.419006479481642,False
ABCD,3.967123287671233,False
ABCFF,0.10416666666666667,False
ABCO,7.454986149584488,False
ABCP,2.1315789473684212,False
ABCW,1.5784960422163588,False
ABDC,0.4983388704318937,False
ABDS,0.3,False
ABEO,0.128,False
ABEOW,1.2791666666666666,False
ABEV,3.4593724859211585,False
ABG,25.499999999999996,True
ABGBY,0.08589951377633712,False
ABHD,0.0022522522522522522,False
ABII,1.326271186440678,False
ABIL,0.019077777777777777,False
ABILW,0.84,False
ABIO,0.001678395050019916,False
ABIX,5.121527777777778,False
ABK,0.01754385964912281,False
ABLX,2.3487338960462014,False
ABM,3.08312128922816,False
ABMC,0.6833333333333332,False
ABMD,47.519134775374376,True
ABNJ,0.954653937947494,False
ABPI,0.0006666666666666668,False
ABR,22.362068965517246,True
ABR-PA,1.048170731707317,False
ABR-PB,1.0685277088502896,False
ABR-PC,1.0371917263325376,False
ABRTY,0.622979358368565,False
ABT,1.6994047619047619,False
ABTX,1.4584775086505188,False
ABUS,1.4916666666666667,False
ABVA,3.1333333333333333,False
ABVT,4.825367647058823,False
ABWG,0.06666666666666667,False
ABWTQ,0.07692307692307691,False
AC,1.191566265060241,False
ACA,1.1109090909090908,False
ACA.W,1.1428571428571428,False
ACAD,34.87012987012987,True
ACAM,1.0,False
ACAP,1.3519061583577712,False
ACAS,15.117647058823529,True
ACAT,5.489614243323442,False
ACB,15.07487520798669,True
ACBA,2.4160583941605838,False
ACBI,1.1886666666666665,False
ACC,2.937037037037037,False
ACCL,3.863777089783282,False
ACCO,5.631578947368421,False
ACCYY,0.7499999999999999,False
ACEL,1.0418367346938775,False
ACEL.WS,1.207142857142857,False
ACEL1,0.5555555555555556,False
ACER,0.243,False
ACERW,0.03333333333333333,False
ACET,0.03031358885017421,False
ACF,6.7382920110192845,False
ACFC,0.9387931034482759,False
ACFN,0.15609756097560978,False
ACGBF,1.0,False
ACGI,0.006666666666666667,False
ACGL,5.533299092621126,False
ACGLO,0.9699879951980792,False
ACGLP,0.9241877256317689,False
ACH,0.862581244196843,False
ACHC,3.2566666666666664,False
ACHN,2.276923076923077,False
ACHV,0.007851239669421488,False
ACIA,1.852988691437803,False
ACII,0.1,False
ACIIQ,0.0004829308909242298,False
ACIU,0.3224776500638569,False
ACIW,5.549552591592099,False
ACKAY,0.5896843725943033,False
ACL,2.2005501702908044,False
ACLI,2.6848534201954397,False
ACLLF,1.588904694167852,False
ACLS,17.96428571428571,True
ACM,1.3128318584070797,False
ACM.W,1.0688285903375248,False
ACMC,3.533333333333333,False
ACME,0.12777777777777777,False
ACMR,2.5504132231404957,False
ACMR1,1.2598425196850394,False
ACN,6.322557471264369,False
ACNB,4.0,False
ACNI,0.8749999999999999,False
ACO,3.9431034482758625,False
ACOM,2.2570422535211265,False
ACOR,0.6454589606605148,False
ACRE,0.8524130190796857,False
ACRGF,1.028913260219342,False
ACRO,0.06666666666666667,False
ACRS,0.5420814479638009,False
ACRX,0.7648351648351649,False
ACS,1.3223946784922394,False
ACSAY,1.4095530095207358,False
ACSF,0.9155455904334827,False
ACST,0.08429752066115703,False
ACTA,0.26854219948849106,False
ACTG,1.1358885017421603,False
ACTI,1.8,False
ACTL,0.0004608294930875576,False
ACTL1,2.399770904925544,False
ACTS,1.5285714285714287,False
ACTT1,1.3333333333333335,False
ACTV,0.9113207547169812,False
ACU,2.3121387283236996,False
ACUR,0.006350877192982457,False
ACUS,0.09999999999999999,False
ACV.A,1.747785547785548,False
ACV1,1.747785547785548,False
ACW,0.19111111111111112,False
ACY,1.475,False
ADAM,2.4833333333333334,False
ADAP,0.26875,False
ADBE,16.614089775561098,True
ADC,6.309372156505915,False
ADCT,4.918918918918919,False
ADDYY,8.550877192982457,False
ADEP,6.904255319148937,False
ADES,5.1955056179775285,False
ADFS,0.005263157894736843,False
ADGE,0.17157894736842105,False
ADGF,3.9487179487179485,False
ADGI,0.5206611570247934,False
ADHH,0.02,False
ADI,5.871165644171779,False
ADIL,0.8469135802469137,False
ADILW,0.5384615384615384,False
ADK-PA,0.797221914366988,False
ADLR,2.385,False
ADM,1.7087955625990494,False
ADMA,0.44327485380116954,False
ADMG,0.018,False
ADMGQ,0.0044444444444444444,False
ADMP,0.25,False
ADMS,0.5074946466809422,False
ADMT,7.95,False
ADNC,0.2560209424083769,False
ADNT,0.2847725774555043,False
