industry,num,num_10baggers,ratio
Financial Data & Stock Exchanges,9,3,0.3333333333333333
Utilities - Independent Power Producers,9,0,0.0
Silver,9,0,0.0
Home Improvement Retail,8,0,0.0
Real Estate - Development,8,1,0.125
Real Estate - General,7,0,0.0
Thermal Coal,7,0,0.0
Furnishings,7,0,0.0
Confectioners,7,0,0.0
Lumber & Wood Production,7,0,0.0
Drug Manufacturers - Major,6,0,0.0
Textile Manufacturing,6,1,0.16666666666666666
Specialty Finance,6,0,0.0
Medical Care,6,0,0.0
Other Precious Metals & Mining,5,0,0.0
Broadcasting - TV,5,0,0.0
Computer Systems,5,1,0.2
Media - Diversified,5,0,0.0
Pay TV,4,0,0.0
Copper,4,0,0.0
Semiconductor Memory,3,0,0.0
Apparel Stores,3,0,0.0
Financial Conglomerates,3,0,0.0
Business Equipment,3,0,0.0
Long-Term Care Facilities,3,0,0.0
Broadcasting - Radio,2,0,0.0
Farm & Construction Equipment,2,0,0.0
Home Improvement Stores,2,0,0.0
Health Care Plans,2,1,0.5
Staffing & Outsourcing Services,2,0,0.0
Marketing Services,2,0,0.0
Home Furnishings & Fixtures,2,0,0.0
Data Storage,2,0,0.0
Beverages - Soft Drinks,1,0,0.0
Integrated Shipping & Logistics,1,0,0.0
Financial Exchanges,1,0,0.0
Infrastructure Operations,1,0,0.0
Banks - Regional - Latin America,1,0,0.0
Coking Coal,1,0,0.0
