Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,106.489998,106.720001,105.269997,105.919998,96.210144,5298300
2015-01-05,105.349998,105.550003,103.860001,104.099998,94.556976,5383500
2015-01-06,104.400002,104.500000,102.510002,103.080002,93.630486,4226100
2015-01-07,104.089996,104.449997,103.550003,104.309998,94.747711,3661500
2015-01-08,105.209999,106.239998,105.110001,106.150002,96.419029,2796200
2015-01-09,106.320000,106.349998,104.919998,105.269997,95.619720,3272500
2015-01-12,105.550003,105.550003,104.120003,104.519997,94.938469,3705900
2015-01-13,105.330002,106.000000,103.430000,104.279999,94.720467,2936200
2015-01-14,103.040001,103.790001,102.500000,103.709999,94.202705,3291600
2015-01-15,104.050003,104.260002,102.570000,102.660004,93.248978,5615200
2015-01-16,102.610001,104.110001,102.419998,104.019997,94.484314,2768900
2015-01-20,104.419998,104.529999,103.199997,104.169998,94.620552,3186900
2015-01-21,103.930000,104.949997,103.599998,104.639999,95.047485,3119400
2015-01-22,105.239998,106.309998,104.269997,106.230003,96.491707,3583500
2015-01-23,106.110001,106.279999,105.680000,105.750000,96.055733,4571900
2015-01-26,105.750000,106.220001,105.199997,106.190002,96.455376,4106500
2015-01-27,105.370003,105.610001,104.360001,104.949997,95.329048,2709300
2015-01-28,105.639999,105.720001,103.410004,103.529999,94.039246,2830400
2015-01-29,103.699997,104.620003,102.820000,104.519997,94.938469,2607200
2015-01-30,103.669998,104.510002,102.949997,103.099998,93.648643,4486900
2015-02-02,103.489998,104.330002,102.250000,104.260002,94.702301,4083200
2015-02-03,104.900002,105.870003,104.709999,105.860001,96.155632,3322000
2015-02-04,105.440002,106.139999,105.239998,105.489998,95.819542,3141700
2015-02-05,105.940002,106.720001,105.839996,106.650002,96.873207,3163500
2015-02-06,106.879997,107.180000,106.019997,106.330002,96.582550,2844500
2015-02-09,105.989998,106.349998,105.589996,105.800003,96.101135,1773800
2015-02-10,106.500000,107.040001,105.839996,106.879997,97.082115,1866300
2015-02-11,106.669998,107.190002,106.370003,106.930000,97.127533,2184600
2015-02-12,107.470001,107.989998,107.269997,107.959999,98.063126,4443400
2015-02-13,108.000000,108.480003,107.919998,108.470001,98.526367,3147700
2015-02-17,108.370003,108.760002,108.129997,108.639999,98.680779,4147000
2015-02-18,108.419998,108.750000,108.269997,108.699997,98.735283,2542600
2015-02-19,108.389999,108.879997,108.260002,108.669998,98.708038,2349000
2015-02-20,108.470001,109.320000,108.010002,109.279999,99.262123,2402600
2015-02-23,109.169998,109.269997,108.860001,109.269997,99.253029,3034000
2015-02-24,109.279999,109.629997,109.040001,109.519997,99.480125,2856500
2015-02-25,109.489998,109.779999,109.260002,109.480003,99.443779,2652100
